doc_id,Review_Date,Reviewer_Score,Tags,Total_Number_of_Reviews_Reviewer_Has_Given,TripType_Leisure,Comp_Group,Comp_Solo,Comp_Family,Submit_Mobile,month_idx,Season_Spring,Season_Summer,Season_Autumn,reviewer_activity_z
1,2016-01-07,10.0,"[' Leisure trip ', ' Group ', ' Junior Suite ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",1,1,1,0,0,1,1,0,0,0,-0.566389062982209
2,2016-01-03,8.3,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,1,0,0,0,1,1,0,0,0,-0.566389062982209
3,2016-01-14,6.3,"[' Leisure trip ', ' Couple ', ' Comfort Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",4,1,0,0,0,1,1,0,0,0,-0.26028796607235005
4,2017-01-29,5.8,"[' Leisure trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,1,0,1,0,1,1,0,0,0,-0.566389062982209
5,2016-01-03,9.2,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",2,1,0,0,0,1,1,0,0,0,-0.464355364012256
6,2017-01-14,10.0,"[' Leisure trip ', ' Group ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",10,1,1,0,0,1,1,0,0,0,0.3519142277473678
7,2016-01-26,8.3,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",1,1,0,0,0,1,1,0,0,0,-0.566389062982209
8,2017-01-19,6.3,"[' Leisure trip ', ' Family with young children ', ' Standard Double Twin Room ', ' Stayed 3 nights ']",1,1,0,0,1,0,1,0,0,0,-0.566389062982209
9,2016-01-05,10.0,"[' Couple ', ' Superior Shard King ', ' Stayed 1 night ', ' Submitted from a mobile device ']",2,0,0,0,0,1,1,0,0,0,-0.464355364012256
10,2017-01-19,6.3,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ']",12,1,0,0,0,0,1,0,0,0,0.5559816256872738
11,2016-01-22,9.6,"[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",2,0,0,1,0,1,1,0,0,0,-0.464355364012256
12,2017-01-06,7.9,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",1,1,0,0,1,1,1,0,0,0,-0.566389062982209
13,2016-01-14,9.6,"[' Business trip ', ' Solo traveler ', ' King Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",2,0,0,1,0,1,1,0,0,0,-0.464355364012256
14,2016-01-24,8.8,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,1,0,0,0,1,1,0,0,0,-0.566389062982209
15,2017-01-04,9.2,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ']",10,0,0,1,0,0,1,0,0,0,0.3519142277473678
16,2017-01-17,10.0,"[' Leisure trip ', ' Couple ', ' Executive Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",7,1,0,0,0,1,1,0,0,0,0.045813130837508875
17,2017-01-31,10.0,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 2 nights ']",9,1,0,0,1,0,1,0,0,0,0.24988052877741485
18,2016-01-19,10.0,"[' Leisure trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",3,1,1,0,0,1,1,0,0,0,-0.36232166504230306
19,2016-01-25,7.9,"[' Leisure trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",27,1,1,0,0,1,1,0,0,0,2.0864871102365683
20,2016-01-27,10.0,"[' With a pet ', ' Business trip ', ' Family with young children ', ' Double or Twin Room 1 2 Adults ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",1,0,0,0,1,1,1,0,0,0,-0.566389062982209
21,2017-01-05,5.4,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ']",1,1,0,0,0,0,1,0,0,0,-0.566389062982209
22,2017-01-07,8.8,"[' Leisure trip ', ' Solo traveler ', ' Superior Single Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",21,1,0,1,0,1,1,0,0,0,1.4742849164168506
23,2017-01-10,10.0,"[' Leisure trip ', ' Solo traveler ', ' Room Selected at Check In ', ' Stayed 1 night ']",1,1,0,1,0,0,1,0,0,0,-0.566389062982209
24,2016-01-08,6.3,"[' Leisure trip ', ' Couple ', ' Classic Room ', ' Stayed 3 nights ']",2,1,0,0,0,0,1,0,0,0,-0.464355364012256
25,2017-01-16,8.8,"[' Leisure trip ', ' Family with young children ', ' City King or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",2,1,0,0,1,1,1,0,0,0,-0.464355364012256
26,2017-01-02,8.3,"[' Leisure trip ', ' Family with young children ', ' Standard Double or Twin Room ', ' Stayed 2 nights ']",37,1,0,0,1,0,1,0,0,0,3.106824099936098
27,2016-01-26,9.6,"[' Business trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",10,0,0,0,0,1,1,0,0,0,0.3519142277473678
28,2017-01-20,7.5,"[' Leisure trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",6,1,0,1,0,1,1,0,0,0,-0.05622056813244411
29,2017-01-27,8.3,"[' Business trip ', ' Family with young children ', ' Deluxe Junior Suite ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",1,0,0,0,1,1,1,0,0,0,-0.566389062982209
30,2017-01-10,10.0,"[' Leisure trip ', ' Couple ', ' Queen Hilton Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",6,1,0,0,0,1,1,0,0,0,-0.05622056813244411
31,2017-01-01,6.3,"[' Leisure trip ', ' Couple ', ' Double Suite ', ' Stayed 1 night ']",6,1,0,0,0,0,1,0,0,0,-0.05622056813244411
32,2017-01-09,7.5,"[' Leisure trip ', ' Family with young children ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,1,0,0,1,1,1,0,0,0,-0.566389062982209
33,2016-01-11,7.9,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ']",23,1,0,0,0,0,1,0,0,0,1.6783523143567565
34,2016-01-10,5.0,"[' Leisure trip ', ' Couple ', ' Double Room with Street View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",16,1,0,0,0,1,1,0,0,0,0.9641164215670857
35,2016-01-04,9.2,"[' Leisure trip ', ' Couple ', ' Standard ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",2,1,0,0,0,1,1,0,0,0,-0.464355364012256
36,2016-01-12,9.6,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 2 nights ']",1,1,0,0,0,0,1,0,0,0,-0.566389062982209
37,2017-01-30,6.7,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",7,1,0,0,0,1,1,0,0,0,0.045813130837508875
38,2016-01-20,8.3,"[' Leisure trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",1,1,1,0,0,1,1,0,0,0,-0.566389062982209
39,2016-01-07,5.8,"[' Leisure trip ', ' Couple ', ' Large Twin Room ', ' Stayed 2 nights ']",1,1,0,0,0,0,1,0,0,0,-0.566389062982209
40,2016-01-02,8.3,"[' Leisure trip ', ' Couple ']",14,1,0,0,0,0,1,0,0,0,0.7600490236271797
41,2017-01-29,7.1,"[' Leisure trip ', ' Solo traveler ', ' Superior Designer ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",21,1,0,1,0,1,1,0,0,0,1.4742849164168506
