Review_Date,Positive_Review,Negative_Review,Reviewer_Score,Tags,Total_Number_of_Reviews_Reviewer_Has_Given,days_since_review,month_idx,days_num,doc_id
2016-01-07,lovely and so helpfull staff,I like everything,10,"[' Leisure trip ', ' Group ', ' Junior Suite ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",1,574 day,1,574,1
2016-01-03,Me and my partner enjoyed our stay at the hotel we wasn t able to play a game of pool like we hoped to as the people playing hogged the table all night Drinks are very expensive there as well but we had a lovely stay,The only thing we would say is that check out should be 12 and not 11 the hotel is lovely and the faculties are also very enjoyable but if we was allowed that extra hour we would of been able to do more at the hotel,8.3,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,578 day,1,578,2
2016-01-14,Hotel was clean Staff member available 24 hours a day,Not all rooms have air conditioning Listing makes it appear that there s a hot tub which there is not,6.3,"[' Leisure trip ', ' Couple ', ' Comfort Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",4,567 day,1,567,3
2017-01-29,Breakfast mediocre,No hot water for two and a half days with promise it was going to be fixed Room not made up until I returned late afternoon and requested it at 3 45,5.8,"[' Leisure trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,186 day,1,186,4
2016-01-03,Location of hotel and view from window,If I had of stayed there in a room to the rear of the hotel facing a brick wall I feel like I wouldn t have enjoyed the stay at all But luckily I didn t,9.2,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",2,578 day,1,578,5
2017-01-14,Beautiful hotel extremely friendly staff and literally next door to the O2 Arena 5,No Negative,10,"[' Leisure trip ', ' Group ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",10,201 day,1,201,6
2016-01-26,Location great,No Negative,8.3,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",1,555 day,1,555,7
2017-01-19,No Positive,Room too small Looking a bit dated,6.3,"[' Leisure trip ', ' Family with young children ', ' Standard Double Twin Room ', ' Stayed 3 nights ']",1,196 day,1,196,8
2016-01-05,Everything defo worth every penny,No Negative,10,"[' Couple ', ' Superior Shard King ', ' Stayed 1 night ', ' Submitted from a mobile device ']",2,576 day,1,576,9
2017-01-19,Very quiet location with tall trees on quiet square outside Staff were helpful when we left something behind Nice decor and modern shower room though very small,Room was very small while advertised as a Delux Double there would have been no room for two full sized cases luckily we were sharing a small one So small there was only one bedside table and no comfortable chair,6.3,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ']",12,196 day,1,196,10
2016-01-22,The night Concierge was one of the kindest and most helpful I ve encountered Heavenly bed Perfect breakfast in my room less than ten minutes after ordering And my view,No Negative,9.6,"[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",2,559 day,1,559,11
2017-01-06,No Positive,The walls are very thin and you could hear the nexts room TV,7.9,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",1,209 day,1,209,12
2016-01-14,All the ingredients for a great stay good price big and clean room excellent staff great location and good food,No Negative,9.6,"[' Business trip ', ' Solo traveler ', ' King Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",2,567 day,1,567,13
2016-01-24,Great location for the theatres and central to other of londons sights Did not need an Oyster card as everywhere was in walking distance Clean and friendly hotel and all requirements were met The room was at back of hotel which meant it was quiet Yes Even met Hotel Manager and proceeded to congratulate him on a well run hotel and cleanliness was too notch,Just felt rooms were a little to warm at night for ladies of a certain age,8.8,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,557 day,1,557,14
2017-01-04,The cozy bed the very nice staff,No Negative,9.2,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ']",10,211 day,1,211,15
2017-01-17,The rooms were super clean and comfy Furnished very nicely and the bed was to die for,The breakfast was slightly expensive i felt for what was on offer,10,"[' Leisure trip ', ' Couple ', ' Executive Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",7,198 day,1,198,16
2017-01-31,Very friendly and helpful staff they live and breath hospitality Very nice room free upgrade excellent breakfast fantastic location close to many theatres restaurants and bars The restaurant and lounge have recently been renovated upgraded very nice indeed We will be back again,Nothing just perfect,10,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 2 nights ']",9,184 day,1,184,17
2016-01-19,Great hotel Great staff Great food,No Negative,10,"[' Leisure trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",3,562 day,1,562,18
2016-01-25,Location near Barcelona stadium clean,Small room,7.9,"[' Leisure trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",27,556 day,1,556,19
2016-01-27,Hello We travel a lot But we never found such a nice people at the reception We arrived at the hotel at 1 am and a girl from the reception helped u to carry the luggages At the breakfast was a strange man that served u not very nice but was ok,The breakfast was poor,10,"[' With a pet ', ' Business trip ', ' Family with young children ', ' Double or Twin Room 1 2 Adults ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",1,554 day,1,554,20
2017-01-05,Easy accessibility to Liverpool Street area and the City of London,Rooms were very small Double rooms face a major construction site in the City of London with intrusive construction noise No caf or restaurant facilities,5.4,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ']",1,210 day,1,210,21
2017-01-07,The location,No Negative,8.8,"[' Leisure trip ', ' Solo traveler ', ' Superior Single Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",21,208 day,1,208,22
2017-01-10,Clean room helpful staff nice and quiet,No Negative,10,"[' Leisure trip ', ' Solo traveler ', ' Room Selected at Check In ', ' Stayed 1 night ']",1,205 day,1,205,23
2016-01-08,Friendly receptionist spacious room quiet neighborhood proper heating bathroom seemed clean,Away from City Center 30 40min Not in an area serviced by U Bahn only by WLB or bus at a 10min walk Carpet wasn t very clean a towel had a stain Needs more attention in cleaning 1st floor room windows are accessible by the golf course,6.3,"[' Leisure trip ', ' Couple ', ' Classic Room ', ' Stayed 3 nights ']",2,573 day,1,573,24
