doc_id,topic,topic_prob,sent_score
1,4,0.7679646382786077,10.0
2,0,0.233365867379707,8.3
3,-1,,6.3
4,-1,,5.8
5,-1,,9.2
6,0,0.5988361225938833,10.0
7,0,1.0,8.3
8,7,0.45176375308760247,6.3
9,0,0.5766443087633273,10.0
10,5,0.17508360162947073,6.3
11,12,1.0,9.6
12,6,1.0,7.9
13,0,0.0940764825227696,9.6
14,0,0.5364487798225289,8.8
15,2,1.0,9.2
16,12,0.6384203912690107,10.0
17,0,1.0,10.0
18,0,0.11327325258820282,10.0
19,13,1.0,7.9
20,-1,,10.0
21,6,0.19611695378397917,5.4
22,0,0.4143977525974495,8.8
23,7,0.19469874344887805,10.0
24,-1,,6.3
25,-1,,8.8
26,-1,,8.3
27,-1,,9.6
28,-1,,7.5
29,-1,,8.3
30,-1,,10.0
31,1,0.21873978172463227,6.3
32,0,0.7896036934533223,7.5
33,-1,,7.9
34,-1,,5.0
35,0,1.0,9.2
36,11,1.0,9.6
37,6,1.0,6.7
38,-1,,8.3
39,3,1.0,5.8
40,-1,,8.3
41,-1,,7.1
42,-1,,9.2
43,12,1.0,10.0
44,9,1.0,8.3
45,1,0.5919230540598408,6.3
46,2,1.0,8.3
47,8,0.10257302900510841,7.9
48,4,0.1062550033840968,9.6
49,1,0.25106771607451317,10.0
50,-1,,7.5
51,2,0.3572153413405595,7.5
52,5,1.0,8.3
53,3,0.0645041568869241,6.3
54,3,1.0,3.8
55,0,0.2371617661795698,10.0
56,-1,,9.6
57,1,1.0,8.3
58,-1,,10.0
59,4,0.30325742803097683,3.8
60,-1,,7.5
61,1,1.0,8.8
62,1,0.5341270860587006,9.6
63,-1,,10.0
64,1,0.33153607407232155,6.7
65,12,1.0,9.6
66,-1,,8.8
67,5,0.2120341412298005,7.1
68,0,0.8698260633315253,9.6
69,1,0.22704376056202216,9.2
70,5,0.13902421994708936,7.5
71,3,0.06764268868967128,10.0
72,10,0.46408866644158603,8.8
73,0,0.26147289540336704,9.6
74,-1,,10.0
75,-1,,10.0
76,11,0.12626074325780529,10.0
77,5,0.22453152708597326,9.6
78,-1,,10.0
79,14,1.0,6.7
80,11,1.0,9.6
81,-1,,8.8
82,-1,,9.6
83,5,0.052134202730598184,9.6
84,-1,,5.8
85,-1,,8.3
86,-1,,10.0
87,-1,,9.2
88,0,1.0,9.6
89,8,0.801038347938828,7.9
90,-1,,6.7
91,2,0.2049512916503435,9.2
92,0,0.6126912419390045,7.5
93,-1,,4.2
94,-1,,3.8
95,0,0.5363970254099465,8.3
96,-1,,9.6
97,1,0.14515635949588443,8.3
98,-1,,7.5
99,2,0.6127018047532837,10.0
100,10,1.0,8.8
101,8,0.6372381702960986,9.2
102,0,0.32182688586672487,10.0
103,-1,,10.0
104,9,1.0,9.2
105,5,0.1570743303497658,8.8
106,2,1.0,10.0
107,1,0.693739335141149,7.1
108,0,0.27273373271186446,10.0
109,0,1.0,8.3
110,8,1.0,7.5
111,1,0.5453266761784098,9.6
112,0,0.34468381803166626,7.5
113,2,0.7247077699236062,7.9
114,0,0.24405760355763687,10.0
115,1,0.49077795419409137,7.1
116,-1,,10.0
117,7,0.16508257566375562,9.6
118,-1,,8.8
119,13,0.3397722804162804,9.6
120,0,1.0,10.0
121,-1,,9.2
122,3,0.15098840663484442,8.8
123,8,0.5325081153682031,7.1
124,8,1.0,6.3
125,-1,,9.2
126,3,0.07680277536114677,5.4
127,-1,,8.8
128,-1,,8.3
129,2,1.0,7.5
130,6,0.8274062112350516,9.2
131,10,0.24929445146201903,7.5
132,-1,,8.8
133,8,0.11282518139386667,10.0
134,7,0.28059116250986177,5.8
135,0,0.28280390475072864,9.2
