topic_id,sentiment_setting,rank,word,probability
1,average,1,room,0.042676382057527905
1,average,2,staff,0.03754775664543378
1,average,3,location,0.02755928827484572
1,average,4,hotel,0.026164681761155082
1,average,5,breakfast,0.02065707817460524
1,average,6,bed,0.01858969776276391
1,average,7,helpful,0.01738765893942244
1,average,8,water,0.017145651033681326
1,average,9,night,0.01671033752277115
1,average,10,floor,0.014429023724124931
1,average,11,great,0.013877945269878294
1,average,12,good,0.013154985775221497
1,average,13,friendly,0.012544896157449104
1,average,14,comfy,0.012222033919020284
1,average,15,rooms,0.010202610697507053
1,negative,1,room,0.045482332289584086
1,negative,2,night,0.0340370099260213
1,negative,3,helpful,0.026957786755171333
1,negative,4,staff,0.02589139382166855
1,negative,5,water,0.0253327854077713
1,negative,6,bed,0.02208292996166527
1,negative,7,poor,0.019723403905481204
1,negative,8,breakfast,0.01945934929404518
1,negative,9,service,0.017963981753405946
1,negative,10,floor,0.016653089170833104
1,negative,11,hot,0.014790965969324894
1,negative,12,hotel,0.014668492828122257
1,negative,13,location,0.014180174644412383
1,negative,14,wasn,0.014093335398102053
1,negative,15,extra,0.013567210529438888
1,positive,1,staff,0.05935798569018321
1,positive,2,hotel,0.03659861340779797
1,positive,3,bed,0.03578485091621365
1,positive,4,breakfast,0.03280475261376858
1,positive,5,comfy,0.03279699122908182
1,positive,6,location,0.02911593869614253
1,positive,7,helpful,0.027361619278031688
1,positive,8,like,0.022572068362414398
1,positive,9,room,0.022128277118107935
1,positive,10,great,0.019054151439949055
1,positive,11,friendly,0.018576969311496737
1,positive,12,comfortable,0.01713696018241127
1,positive,13,lovely,0.014709678616772536
1,positive,14,brilliant,0.013705712432163251
1,positive,15,tea,0.01288532898974532
2,average,1,room,0.06394522995461806
2,average,2,hotel,0.03196236610770225
2,average,3,location,0.030460225740478956
2,average,4,staff,0.025616337559461782
2,average,5,breakfast,0.02167188805994792
2,average,6,great,0.0201886014501281
2,average,7,small,0.019322754558113275
2,average,8,bed,0.019227605161480373
2,average,9,good,0.017616928703673315
2,average,10,rooms,0.012391750287996942
2,average,11,bathroom,0.011107651058543081
2,average,12,clean,0.01075336996485121
2,average,13,shower,0.010124161572355713
2,average,14,helpful,0.01008200902804427
2,average,15,nice,0.00875236741923484
2,negative,1,room,0.07950932784258316
2,negative,2,hotel,0.03198572039460517
2,negative,3,small,0.025635050711302922
2,negative,4,location,0.0250846646135098
2,negative,5,staff,0.022787847950033743
2,negative,6,breakfast,0.018834701849434397
2,negative,7,bed,0.017792766856985033
2,negative,8,bathroom,0.014086276473731963
2,negative,9,shower,0.013954182688958
2,negative,10,good,0.013718860959322678
2,negative,11,like,0.013324114831147387
2,negative,12,rooms,0.012183911057178448
2,negative,13,night,0.01182460157548032
2,negative,14,cold,0.009007888671468553
2,negative,15,bad,0.008939191814117602
2,positive,1,breakfast,0.0463385164397473
2,positive,2,hotel,0.04392932076263738
2,positive,3,room,0.04214640308607693
2,positive,4,staff,0.03542826447631545
2,positive,5,location,0.021486586507147503
2,positive,6,friendly,0.01659189092924443
2,positive,7,good,0.01631278731539146
2,positive,8,lovely,0.014921910091394423
2,positive,9,balcony,0.013735774165994283
2,positive,10,helpful,0.013569952248523734
2,positive,11,pool,0.013514426368213886
2,positive,12,bed,0.013222482999277363
2,positive,13,bit,0.012571425587636798
2,positive,14,clean,0.012325478307389379
2,positive,15,way,0.012207371330129774
3,average,1,room,0.0469722063586214
3,average,2,staff,0.03272727807500127
3,average,3,location,0.029134705980977282
3,average,4,hotel,0.027483473168569098
3,average,5,breakfast,0.021642932648221577
3,average,6,great,0.02065136093474044
3,average,7,good,0.01646911183566643
3,average,8,helpful,0.013734460056267274
3,average,9,clean,0.013695165262781072
3,average,10,friendly,0.013287137863345174
3,average,11,close,0.01158816820997337
3,average,12,nice,0.011564657185602142
3,average,13,station,0.010329180721875376
3,average,14,walk,0.009900390633763854
3,average,15,small,0.009606422307016142
3,negative,1,room,0.07630066623502788
3,negative,2,hotel,0.033161353205183056
3,negative,3,staff,0.020589551163049554
3,negative,4,breakfast,0.017984495465093134
3,negative,5,night,0.016775649287982464
3,negative,6,location,0.013999316584878966
3,negative,7,bar,0.012628506706623552
3,negative,8,service,0.012534305455730393
3,negative,9,bed,0.011824625040555752
3,negative,10,good,0.011478575963401298
3,negative,11,told,0.010043073776172305
3,negative,12,near,0.009733840698469548
3,negative,13,clean,0.009505098813524867
3,negative,14,cost,0.009496436152577312
3,negative,15,time,0.009304845813803133
3,positive,1,hotel,0.041527391902975476
3,positive,2,room,0.038971748686729174
3,positive,3,staff,0.036169982955483605
3,positive,4,great,0.030548497106882518
3,positive,5,close,0.023809039934733687
3,positive,6,breakfast,0.023314356770965806
3,positive,7,location,0.023291132743354242
3,positive,8,helpful,0.019543850382875576
3,positive,9,excellent,0.014274104431232658
3,positive,10,stay,0.012971019996302756
3,positive,11,ok,0.011937587593382318
3,positive,12,small,0.011840680552264176
3,positive,13,extremely,0.010586008690078511
3,positive,14,suite,0.010476135642268415
3,positive,15,good,0.010327501664857948
4,average,1,room,0.042847634110518895
4,average,2,hotel,0.03817598919604276
4,average,3,staff,0.03260156953484412
4,average,4,location,0.024042589673994197
4,average,5,breakfast,0.019677743617436145
4,average,6,good,0.013213088809944797
4,average,7,helpful,0.012639954527436471
4,average,8,great,0.01259792556833959
4,average,9,service,0.012352590208056876
4,average,10,check,0.01169577995505698
4,average,11,excellent,0.010160108459963846
4,average,12,bed,0.009875583882774661
4,average,13,friendly,0.009290446125098615
4,average,14,clean,0.009072169757810574
4,average,15,time,0.00906928190829934
4,negative,1,room,0.06690907454733085
4,negative,2,hotel,0.0534940633264266
4,negative,3,staff,0.022798025593922407
4,negative,4,location,0.01759544148967203
4,negative,5,rooms,0.01723421558562533
4,negative,6,bad,0.017176140103977923
4,negative,7,service,0.014749738702039432
4,negative,8,tiny,0.012035963449526363
4,negative,9,breakfast,0.011768983897872934
4,negative,10,check,0.011728184274005224
4,negative,11,told,0.0111820916886285
4,negative,12,night,0.010931263936247347
4,negative,13,quality,0.010111543889516187
4,negative,14,star,0.009869050406143784
4,negative,15,new,0.009343908986785858
4,positive,1,staff,0.04288853494721008
4,positive,2,room,0.03405214066151996
4,positive,3,hotel,0.029780389044009335
4,positive,4,helpful,0.024025056471422408
4,positive,5,friendly,0.01989612185454405
4,positive,6,location,0.01988206683965346
4,positive,7,great,0.019231936340238624
4,positive,8,excellent,0.018919210500493746
4,positive,9,service,0.0186136156172152
4,positive,10,booking,0.017840797110566443
4,positive,11,fault,0.017790356796707624
4,positive,12,breakfast,0.017061388756403596
4,positive,13,perfect,0.016814971491572635
4,positive,14,time,0.016407252091658484
4,positive,15,check,0.013661683785954504
